conversation_id,turn_id,user_input,paraphrase,translation_en,intent,entities,assistant_response,was_helpful,user_rating,user_satisfaction,needs_clarification,context_city,context_task,time_period
e84cfae7-430e-4feb-9434-427acddd6565,3,øhm Hvad er din mening om kunstig intelligens?,øhm Hvad er din mening om kunstig intelligens.,[EN] intelligens? er mening [...],out_of_scope,[],"Mine evner er begrænset til kalender, vejr og nyheder.",False,3.0,5.8,False,,,evening
699fde46-5133-4607-8369-b28c5ae9b06e,1,Hvordan laver jeg en omelet?,Hvordan måske står det med laver jo jeg en omelet tak?,[EN] en laver [...],out_of_scope,[],Det spørgsmål ligger uden for min funktionalitet.,False,1.2,6.6,False,,,night
1b3fc192-ad2f-4886-88b4-74b625e94a0b,1,altså Jeg skal huske at hente børn på,altså Jeg skal huske at hente børn på,[EN] børn Jeg skal huske [...],påmindelse,"[('task', 'hente børn')]",Hvilken tid?. Alarm sat til 09:15.,True,5.0,7.3,True,,hente børn,night
8bdbe86c-69ad-4413-ab68-28ca77c03dbe,1,Har du nyheder om videnskab?,Har du nyheder om videnskab lige nu?,[EN] nyheder videnskab? [...],nyheder,"[('word', 'viden'), ('topic', 'videnskab')]",Fået! Her er nyheder om videnskab: [Oversigt],True,5.0,7.3,False,,,night
293de767-a964-4832-bc0c-b61c5d94b614,2,Kan du synge en sang for mig?,Kan du synge en sang for mig venligst?,[EN] for en [...],out_of_scope,[],Det spørgsmål kan jeg ikke besvare.,False,1.6,6.2,False,,,morning
f39fa6c0-0d4f-4807-a34d-ec9e53c03a60,2,Hvad er din mening altså om kunstig intelligens?,Hvad er din mening altså om kunstig intelligens for mig?,[EN] om Hvad intelligens? [...],out_of_scope,[],Jeg er kun programmeret til at hjælpe med praktiske opgaver.,False,3.0,6.2,False,,,night
7a1b6cb3-8f74-42b5-be70-817cd40c49fd,3,nå Hvad lige er hvad din mening om kunstig intelligens?,nå Hvad øv lige er hvad din altså mening om jo kunstig intelligens lige nu?,[EN] om mening er Hvad [...],out_of_scope,[],"Mine evner er begrænset til kalender, vejr og nyheder.",False,2.2,5.8,False,,,night
e535bf67-c85c-4e3c-9ef5-1987bdbea94f,2,øhm Hvornår startede 2. verdenskrig?,øhm Hvornår startede 2. verdenskrig.,[EN] startede verdenskrig? øhm [...],spørgsmål,"[('number', '2')]",19 + 64 = 83.,True,4.0,7.6,False,,,morning
934687fc-5883-4e2f-9823-55afe1fcb8da,4,Kan du sætte lige alarm til ?,Kan du sætte lige alarm til  tak?,[EN] Kan til du alarm [...],alarm,[],Vækkeur sat til 08:30. Godnat! ,False,4.9,7.8,False,,,morning
ddef8a1a-c362-4d7b-a75e-aabf5f813e52,1,jo Sæt alarm til klokken 18:00,jo Lav alarm til klokken 18:00,[EN] 18:00 til [...],alarm,"[('time', '18:00'), ('number', '8')]",Vækkeur sat til 18:00. Husk at gå tidligt i seng! ,True,4.2,7.2,False,,,night
68ba646c-649c-4c5e-9a83-66d932820f45,2,Hvem skrev 'Den lille lige havfrue'?,Hvem skrev 'Den lille lige havfrue' for mig?,[EN] lige [...],out_of_scope,[],Det spørgsmål kan jeg ikke besvare.,False,2.2,6.2,False,,,afternoon
e7622ebb-1340-4317-9d0f-5ba0c15bfc4d,1,Hvordan laver jeg en omelet?,Hvordan ser laver jeg en omelet tak?,[EN] omelet? laver jeg [...],out_of_scope,[],Det kan jeg ikke hjælpe med.,False,1.0,6.6,False,,,afternoon
beb0676b-17ba-4769-885a-b5a324528cbb,4,Fortæl måske seneste nyt om politik,Sig mig måske seneste nyt om politik,[EN] politik [...],nyheder,"[('topic', 'politik')]",Her er de seneste opdateringer om politik: [Info],True,4.8,7.6,False,,,night
f536b950-e758-4835-bf4c-39128af96c33,3,Giv mig seneste lige nyhedsopdatering,Giv mig seneste lige nyhedsopdatering,[EN] seneste [...],nyheder,[],Her er de seneste opdateringer om teknologi: [Info],False,4.7,7.5,False,,,night
8ba99463-d66f-4b2d-801d-96188c2bedc5,3,Hvad er måske kvadratroden af 144?,Hvad er måske kvadratroden af 144 for mig?,[EN] er Hvad måske [...],out_of_scope,"[('number', '1'), ('number', '4'), ('number', '44')]",Det kan jeg ikke hjælpe med.,False,2.1,5.8,False,,,afternoon
a74f312b-9c79-4e67-9b2b-5790cb1d843e,1,Kan øhm du fortælle nå en vittighed?,Kan øhm du fortælle nå en vittighed lige nu?,[EN] en fortælle øhm [...],out_of_scope,[],Jeg er kun programmeret til at hjælpe med praktiske opgaver.,False,2.2,6.6,False,,,night
8ba99463-d66f-4b2d-801d-96188c2bedc5,5,Kan du fortælle sådan en vittighed?,Kan du fortælle sådan en vittighed venligst?,[EN] en vittighed? fortælle [...],out_of_scope,[],"Mine evner er begrænset til kalender, vejr og nyheder.",False,1.3,5.0,False,,,afternoon
37bb70bf-6209-49b6-b367-2d4e8088fb63,2,Konfigurer vækkeur til 21:15,Konfigurer vækkeur til 21:15,[EN] Konfigurer [...],alarm,"[('time', '21:15'), ('number', '1'), ('number', '2'), ('number', '15'), ('number', '21')]",Jeg vækker dig klokken 21:15. Godnat! ,True,4.8,7.3,False,,,morning
17aeb4ad-658b-4f14-97d5-a39d9a3408bb,3,Konfigurer vækkeur til 07:00,Konfigurer vækkeur til 07:00,[EN] 07:00 [...],alarm,"[('time', '07:00')]",Alarm indstillet til 07:00. Godnat! ,True,4.0,7.8,False,,,morning
50875091-251c-41ad-b204-1c4283ff307a,1,Hvad er meningen med livet?,Hvad er meningen med livet venligst?,[EN] med [...],out_of_scope,[],"Mine evner er begrænset til kalender, vejr og nyheder.",False,2.0,6.6,False,,,morning
56c74a27-7405-4b5e-b78d-3ab0b25a608c,2,Herning,Herning,[EN] Herning [...],vejrudsigten,[],"Goddag, jeg kunne ikke genkende byen. Her er vejret i Randers.",True,4.3,7.2,True,Herning,,night
3cdde3c7-7534-4641-8e6d-1c570009213d,3,Hvordan ser måske du ud?,Hvordan er det med ser måske du ud venligst?,[EN] Hvordan du [...],out_of_scope,[],Det kan jeg ikke hjælpe med.,False,1.2,5.8,False,,,evening
5ecd8b74-ba73-45f7-9e2f-4c6cabcac589,5,Silkeborg,Silkeborg,[EN] Silkeborg [...],vejrudsigten,"[('city', 'Silkeborg')]"," I forhold til i går, Her er vejrudsigten for Silkeborg: Solskin hele dagen med 22 grader. I aften kommer der ",True,4.4,8.4,False,Silkeborg,,afternoon
5310a972-1cd0-4793-909d-24cb994b842b,1,Vis lige mig nyheder om,Få mig lige mig nyheder om,[EN] mig lige [...],nyheder,[],Nyheder om videnskab: [Oplysninger],True,3.5,7.1,False,,,afternoon
1d720aa8-17c3-4434-8bd2-d7d5cc8bf299,2,Væk mig ved,Væk mig ved,[EN] Væk [...],alarm,[],Alarm planlagt til 21:15. Godnat! ,True,4.4,7.2,False,,,morning
10aaeee8-23df-4800-9fdd-ec2b7b103002,2,Væk mig ved 08:30,Væk mig ved 08:30,[EN] ved [...],alarm,"[('time', '08:30'), ('number', '8'), ('number', '30')]",Alarm sat til klokken 08:30. Godnat! ,True,4.0,7.5,False,,,night
